Stock,Date,Open,High,Low,Close,Adj Close,Volume
AMZN,9/28/2020,3148.850098,3175.040039,3117.169922,3174.050049,3174.050049,4224200
AMZN,9/29/2020,3175.389893,3188.26001,3132.540039,3144.879883,3144.879883,3495800
AMZN,9/30/2020,3141.139893,3212.879883,3133.98999,3148.72998,3148.72998,4896100
AMZN,10/1/2020,3208,3224,3172,3221.26001,3221.26001,4971900
AMZN,10/2/2020,3153.629883,3195.800049,3123,3125,3125,5613100
AMZN,10/5/2020,3145.840088,3202.530029,3140.850098,3199.199951,3199.199951,3775300
AMZN,10/6/2020,3165,3182,3090,3099.959961,3099.959961,5086900
AMZN,10/7/2020,3135,3200,3132.389893,3195.689941,3195.689941,4309400
AMZN,10/8/2020,3224.98999,3233.290039,3174.98999,3190.550049,3190.550049,3174100
AMZN,10/9/2020,3210,3288.98999,3197.830078,3286.649902,3286.649902,4907900
AMZN,10/12/2020,3349.939941,3496.23999,3339.550049,3442.929932,3442.929932,8364200
AMZN,10/13/2020,3467.98999,3492.379883,3424.219971,3443.629883,3443.629883,5744700
AMZN,10/14/2020,3447,3464.879883,3340,3363.709961,3363.709961,5812700
AMZN,10/15/2020,3292.01001,3355.879883,3280,3338.649902,3338.649902,5223400
AMZN,10/16/2020,3363.22998,3399.659912,3160,3272.709961,3272.709961,6474400
AMZN,10/19/2020,3299.610107,3329,3192.73999,3207.209961,3207.209961,5223600
AMZN,10/20/2020,3222.280029,3266,3192.01001,3217.01001,3217.01001,4509700
AMZN,10/21/2020,3212.5,3233.879883,3160,3184.939941,3184.939941,4592700
AMZN,10/22/2020,3189.870117,3198.75,3121.939941,3176.399902,3176.399902,4212000
AMZN,10/23/2020,3191,3205.330078,3140,3204.399902,3204.399902,3466700
AMZN,10/26/2020,3198.73999,3282.97998,3153.300049,3207.040039,3207.040039,5901200
AMZN,10/27/2020,3224.939941,3291.659912,3211.300049,3286.330078,3286.330078,4291000
AMZN,10/28/2020,3249.300049,3264.02002,3162.469971,3162.780029,3162.780029,5588300
AMZN,10/29/2020,3201.27002,3257.25,3164,3211.01001,3211.01001,6596500
AMZN,10/30/2020,3157.75,3167,3019,3036.149902,3036.149902,8386400
AMZN,11/2/2020,3061.73999,3079.709961,2950.120117,3004.47998,3004.47998,7257400
AMZN,11/3/2020,3018.530029,3074.899902,2980.97998,3048.409912,3048.409912,4897900
AMZN,11/4/2020,3159.98999,3244.850098,3139.72998,3241.159912,3241.159912,6839000
AMZN,11/5/2020,3319.969971,3366.800049,3288.879883,3322,3322,5789300
AMZN,11/6/2020,3304.639893,3322,3232,3311.370117,3311.370117,4647300
AMZN,11/9/2020,3231.030029,3289,3112.110107,3143.73999,3143.73999,7190400
AMZN,11/10/2020,3095.02002,3114,3019.47998,3035.02002,3035.02002,6591000
AMZN,11/11/2020,3061.780029,3139.149902,3050,3137.389893,3137.389893,4366900
AMZN,11/12/2020,3159.949951,3175.879883,3086.050049,3110.280029,3110.280029,4362000
AMZN,11/13/2020,3122,3141.719971,3085.389893,3128.810059,3128.810059,3756200
AMZN,11/16/2020,3093.199951,3142.699951,3072.689941,3131.060059,3131.060059,3808700
AMZN,11/17/2020,3183.540039,3189.25,3135.26001,3135.659912,3135.659912,3444700
AMZN,11/18/2020,3134,3140,3105.100098,3105.459961,3105.459961,2916800
AMZN,11/19/2020,3105.310059,3125,3080.919922,3117.02002,3117.02002,3010300
AMZN,11/20/2020,3117.02002,3132.889893,3098.050049,3099.399902,3099.399902,3374400
AMZN,11/23/2020,3116.699951,3139.75,3065.459961,3098.389893,3098.389893,4708900
AMZN,11/24/2020,3100.5,3134.25,3086.26001,3118.060059,3118.060059,3602100
AMZN,11/25/2020,3141.870117,3198,3140.26001,3185.070068,3185.070068,3790400
AMZN,11/27/2020,3211.26001,3216.189941,3190.050049,3195.340088,3195.340088,2392900
AMZN,11/30/2020,3208.47998,3228.389893,3125.550049,3168.040039,3168.040039,4063900
AMZN,12/1/2020,3188.5,3248.949951,3157.179932,3220.080078,3220.080078,4537000
AMZN,12/2/2020,3221.649902,3232,3173.26001,3203.530029,3203.530029,3129300
AMZN,12/3/2020,3205.459961,3228.639893,3181.310059,3186.72998,3186.72998,2892000
AMZN,12/4/2020,3198.209961,3198.209961,3158.76001,3162.580078,3162.580078,2913600
AMZN,12/7/2020,3156.47998,3180.76001,3141.689941,3158,3158,2751300
AMZN,12/8/2020,3158.899902,3184.129883,3120.02002,3177.290039,3177.290039,3286300
AMZN,12/9/2020,3167.889893,3174.429932,3088,3104.199951,3104.199951,4100800
AMZN,12/10/2020,3088.98999,3142.100098,3076,3101.48999,3101.48999,3030200
AMZN,12/11/2020,3096.659912,3118.669922,3072.820068,3116.419922,3116.419922,3064700
AMZN,12/14/2020,3143,3190.469971,3126,3156.969971,3156.969971,4155800
AMZN,12/15/2020,3181.01001,3188.5,3130.48999,3165.120117,3165.120117,3319500
AMZN,12/16/2020,3176.01001,3247,3163.679932,3240.959961,3240.959961,4427600
AMZN,12/17/2020,3250,3263.51001,3221,3236.080078,3236.080078,3474300
AMZN,12/18/2020,3243.98999,3249.419922,3171.600098,3201.649902,3201.649902,5995700
AMZN,12/21/2020,3200.01001,3226.969971,3166,3206.179932,3206.179932,3836800
AMZN,12/22/2020,3202.840088,3222,3180.080078,3206.52002,3206.52002,2369400
AMZN,12/23/2020,3205,3210.129883,3184.169922,3185.27002,3185.27002,2093800
AMZN,12/24/2020,3193.899902,3202,3169,3172.689941,3172.689941,1451900
AMZN,12/28/2020,3194,3304,3172.689941,3283.959961,3283.959961,5686800
AMZN,12/29/2020,3309.939941,3350.649902,3281.219971,3322,3322,4872900
AMZN,12/30/2020,3341,3342.100098,3282.469971,3285.850098,3285.850098,3209300
AMZN,12/31/2020,3275,3282.919922,3241.199951,3256.929932,3256.929932,2957200
AMZN,1/4/2021,3270,3272,3144.02002,3186.629883,3186.629883,4411400
AMZN,1/5/2021,3166.01001,3223.379883,3165.060059,3218.51001,3218.51001,2655500
AMZN,1/6/2021,3146.47998,3197.51001,3131.159912,3138.379883,3138.379883,4394800
AMZN,1/7/2021,3157,3208.540039,3155,3162.159912,3162.159912,3514500
AMZN,1/8/2021,3180,3190.639893,3142.199951,3182.699951,3182.699951,3537700
AMZN,1/11/2021,3148.01001,3156.379883,3110,3114.209961,3114.209961,3683400
AMZN,1/12/2021,3120,3142.139893,3086,3120.830078,3120.830078,3514600
AMZN,1/13/2021,3128.439941,3189.949951,3122.080078,3165.889893,3165.889893,3321200
AMZN,1/14/2021,3167.52002,3178,3120.590088,3127.469971,3127.469971,3070900
AMZN,1/15/2021,3123.02002,3142.550049,3095.169922,3104.25,3104.25,4244000
AMZN,1/19/2021,3107,3145,3096,3120.76001,3120.76001,3305100
AMZN,1/20/2021,3181.98999,3279.800049,3175,3263.379883,3263.379883,5309800
AMZN,1/21/2021,3293,3348.550049,3289.570068,3306.98999,3306.98999,4936100
AMZN,1/22/2021,3304.310059,3321.909912,3283.159912,3292.22998,3292.22998,2821900
AMZN,1/25/2021,3328.5,3363.889893,3243.149902,3294,3294,3749800
AMZN,1/26/2021,3296.360107,3338,3282.870117,3326.129883,3326.129883,2955200
AMZN,1/27/2021,3341.48999,3346.52002,3207.080078,3232.580078,3232.580078,4660200
AMZN,1/28/2021,3235.040039,3301.679932,3228.689941,3237.620117,3237.620117,3149200
AMZN,1/29/2021,3230,3236.98999,3184.550049,3206.199951,3206.199951,4293600
AMZN,2/1/2021,3242.360107,3350.26001,3235.030029,3342.879883,3342.879883,4160200
AMZN,2/2/2021,3380,3427.73999,3361.129883,3380,3380,7098600
AMZN,2/3/2021,3425.01001,3434,3308.620117,3312.530029,3312.530029,7088800
AMZN,2/4/2021,3330,3347,3277.75,3331,3331,3670700
AMZN,2/5/2021,3319,3377,3302.709961,3352.149902,3352.149902,3620800
AMZN,2/8/2021,3358.5,3365,3304,3322.939941,3322.939941,3257400
AMZN,2/9/2021,3312.48999,3338,3297.840088,3305,3305,2203500
AMZN,2/10/2021,3314,3317.949951,3254,3286.580078,3286.580078,3151600
AMZN,2/11/2021,3292,3292,3248.060059,3262.129883,3262.129883,2301400
AMZN,2/12/2021,3250,3280.25,3233.310059,3277.709961,3277.709961,2335300
AMZN,2/16/2021,3254.050049,3308.300049,3253.590088,3268.949951,3268.949951,2574700
AMZN,2/17/2021,3263.600098,3320.909912,3259.5,3308.639893,3308.639893,3297500
AMZN,2/18/2021,3282.419922,3338,3273.939941,3328.22998,3328.22998,3027400
AMZN,2/19/2021,3328.22998,3333.5,3245.75,3249.899902,3249.899902,4305200
AMZN,2/22/2021,3208.129883,3232.320068,3172.26001,3180.73999,3180.73999,3515700
AMZN,2/23/2021,3127.030029,3204.72998,3093.600098,3194.5,3194.5,4677200
AMZN,2/24/2021,3166.75,3171.22998,3125.379883,3159.530029,3159.530029,3011300
AMZN,2/25/2021,3136.73999,3178.26001,3047.76001,3057.159912,3057.159912,4533800
AMZN,2/26/2021,3095.199951,3122.439941,3036.699951,3092.929932,3092.929932,4275900
AMZN,3/1/2021,3127.889893,3149.560059,3097.98999,3146.139893,3146.139893,2729100
AMZN,3/2/2021,3143.469971,3163.52002,3087.120117,3094.530029,3094.530029,2595800
AMZN,3/3/2021,3081.179932,3107.780029,2995,3005,3005,3988700
AMZN,3/4/2021,3012,3058.129883,2945.429932,2977.570068,2977.570068,5481600
AMZN,3/5/2021,3005,3009,2881,3000.459961,3000.459961,5388600
AMZN,3/8/2021,3015,3064.590088,2951.310059,2951.949951,2951.949951,4185000
AMZN,3/9/2021,3017.98999,3090.959961,3005.149902,3062.850098,3062.850098,4030000
AMZN,3/10/2021,3098.449951,3116.459961,3030.050049,3057.639893,3057.639893,3012500
AMZN,3/11/2021,3104.01001,3131.780029,3082.929932,3113.590088,3113.590088,2776400
AMZN,3/12/2021,3075,3098.97998,3045.5,3089.48999,3089.48999,2421900
AMZN,3/15/2021,3074.570068,3082.23999,3032.090088,3081.679932,3081.679932,2913600
AMZN,3/16/2021,3104.969971,3128.909912,3075.860107,3091.860107,3091.860107,2538800
AMZN,3/17/2021,3073.219971,3173.050049,3070.219971,3135.72998,3135.72998,3118600
AMZN,3/18/2021,3101,3116.629883,3025,3027.98999,3027.98999,3649600
AMZN,3/19/2021,3029.22998,3077.290039,3016.629883,3074.959961,3074.959961,4625400
AMZN,3/22/2021,3067.850098,3126.580078,3060.050049,3110.870117,3110.870117,2902200
AMZN,3/23/2021,3127,3182,3120.850098,3137.5,3137.5,3817300
AMZN,3/24/2021,3151.040039,3160.310059,3085.149902,3087.070068,3087.070068,2959000
AMZN,3/25/2021,3072.98999,3109.780029,3037.139893,3046.26001,3046.26001,3563500
AMZN,3/26/2021,3044.060059,3056.659912,2996,3052.030029,3052.030029,3312900
AMZN,3/29/2021,3055.439941,3091.25,3028.449951,3075.72998,3075.72998,2746000
AMZN,3/30/2021,3070.01001,3073,3034,3055.290039,3055.290039,2337600
AMZN,3/31/2021,3064.060059,3119.330078,3062.5,3094.080078,3094.080078,3093900
AMZN,4/1/2021,3117.939941,3162.439941,3115.550049,3161,3161,2940300
AMZN,4/5/2021,3173,3235.959961,3161.23999,3226.72998,3226.72998,3334900
AMZN,4/6/2021,3223.75,3247.310059,3217.040039,3223.820068,3223.820068,2537800
AMZN,4/7/2021,3233.800049,3303.610107,3223.649902,3279.389893,3279.389893,3346200
AMZN,4/8/2021,3310.899902,3324.5,3292,3299.300049,3299.300049,2812100
AMZN,4/9/2021,3304.699951,3372.199951,3288.899902,3372.199951,3372.199951,4341500
AMZN,4/12/2021,3355.209961,3395.040039,3351.149902,3379.389893,3379.389893,3281800
AMZN,4/13/2021,3400.850098,3432,3395.629883,3400,3400,3315800
AMZN,4/14/2021,3404.040039,3404.129883,3326,3333,3333,3145200
AMZN,4/15/2021,3371,3397,3352,3379.090088,3379.090088,3233600
AMZN,4/16/2021,3380,3406.800049,3355.590088,3399.439941,3399.439941,3186000
AMZN,4/19/2021,3390.330078,3435.929932,3360.159912,3372.01001,3372.01001,2725400
AMZN,4/20/2021,3373.600098,3382.98999,3316,3334.689941,3334.689941,2623000
AMZN,4/21/2021,3316,3362.860107,3303.810059,3362.02002,3362.02002,2211200
AMZN,4/22/2021,3371.679932,3372.870117,3301.449951,3309.040039,3309.040039,2580600
AMZN,4/23/2021,3319.100098,3375,3308.5,3340.879883,3340.879883,3192800
AMZN,4/26/2021,3348,3428.449951,3330.939941,3409,3409,4880700
AMZN,4/27/2021,3443.469971,3460,3398.01001,3417.429932,3417.429932,3827100
AMZN,4/28/2021,3434.800049,3489.879883,3425,3458.5,3458.5,4631900
AMZN,4/29/2021,3505.100098,3514.449951,3435,3471.310059,3471.310059,7682400
AMZN,4/30/2021,3525.120117,3554,3462.5,3467.419922,3467.419922,7009300
AMZN,5/3/2021,3484.72998,3486.649902,3372.699951,3386.48999,3386.48999,5875500
AMZN,5/4/2021,3356.189941,3367.97998,3272.129883,3311.870117,3311.870117,5439400
AMZN,5/5/2021,3338.860107,3354.699951,3264.360107,3270.540039,3270.540039,3711300
AMZN,5/6/2021,3270,3314.399902,3247.199951,3306.370117,3306.370117,4447700
AMZN,5/7/2021,3319.090088,3330.889893,3289.070068,3291.610107,3291.610107,4710300
AMZN,5/10/2021,3282.320068,3283,3190,3190.48999,3190.48999,5838600
AMZN,5/11/2021,3136.280029,3238,3127.370117,3223.909912,3223.909912,4619800
AMZN,5/12/2021,3185,3207.939941,3133.100098,3151.939941,3151.939941,4936400
AMZN,5/13/2021,3185.469971,3203.840088,3133,3161.469971,3161.469971,3350900
AMZN,5/14/2021,3185.560059,3228.860107,3183,3222.899902,3222.899902,3325000
AMZN,5/17/2021,3245.929932,3292.75,3234.590088,3270.389893,3270.389893,3723900
AMZN,5/18/2021,3292.580078,3312,3230.370117,3232.280029,3232.280029,2828400
AMZN,5/19/2021,3195,3234.75,3184,3231.800049,3231.800049,2679700
AMZN,5/20/2021,3244.399902,3259.679932,3236.179932,3247.679932,3247.679932,2633200
AMZN,5/21/2021,3250,3256.689941,3197.01001,3203.080078,3203.080078,4104900
AMZN,5/24/2021,3215.5,3257.949951,3210.5,3244.98999,3244.98999,2422800
AMZN,5/25/2021,3266.669922,3279.820068,3213.76001,3259.050049,3259.050049,3261100
AMZN,5/26/2021,3274.590088,3295.72998,3258.51001,3265.159912,3265.159912,2384000
AMZN,5/27/2021,3256,3260.360107,3230.040039,3230.110107,3230.110107,2561200
AMZN,5/28/2021,3242,3247.98999,3219.699951,3223.070068,3223.070068,2329800
AMZN,6/1/2021,3243.5,3250.97998,3209.060059,3218.649902,3218.649902,2430000
AMZN,6/2/2021,3223.100098,3235,3208,3233.98999,3233.98999,2014500
AMZN,6/3/2021,3204.22998,3214.439941,3184.030029,3187.01001,3187.01001,2398300
AMZN,6/4/2021,3212,3221,3198.810059,3206.219971,3206.219971,2249700
AMZN,6/7/2021,3197.330078,3208,3172.199951,3198.01001,3198.01001,2215800
AMZN,6/8/2021,3222.610107,3279.530029,3218.01001,3264.110107,3264.110107,3416700
AMZN,6/9/2021,3272.870117,3297.580078,3270.699951,3281.149902,3281.149902,2455500
AMZN,6/10/2021,3282.01001,3351,3281.149902,3349.649902,3349.649902,3476500
AMZN,6/11/2021,3349.649902,3366.580078,3333.449951,3346.830078,3346.830078,2817400
AMZN,6/14/2021,3346.830078,3385,3335.5,3383.870117,3383.870117,2569700
AMZN,6/15/2021,3384,3396.98999,3363.110107,3383.129883,3383.129883,2426200
AMZN,6/16/2021,3392,3426.350098,3360.530029,3415.25,3415.25,4202800
AMZN,6/17/2021,3403.179932,3497.199951,3401,3489.23999,3489.23999,5136500
AMZN,6/18/2021,3479.98999,3507,3473.709961,3486.899902,3486.899902,5247700
AMZN,6/21/2021,3476.419922,3482,3434,3453.959961,3453.959961,3277100
AMZN,6/22/2021,3458.060059,3523.780029,3456.090088,3505.439941,3505.439941,3345100
AMZN,6/23/2021,3505,3521,3483.199951,3503.820068,3503.820068,2813300
AMZN,6/24/2021,3507.639893,3524.860107,3430.850098,3449.080078,3449.080078,3832000
AMZN,6/25/2021,3464,3464.820068,3394.179932,3401.459961,3401.459961,3941000
AMZN,6/28/2021,3416,3448,3413.51001,3443.889893,3443.889893,2242800
AMZN,6/29/2021,3438.820068,3456.030029,3423.030029,3448.139893,3448.139893,2098400
AMZN,6/30/2021,3441.060059,3471.600098,3435,3440.159912,3440.159912,2404000
AMZN,7/1/2021,3434.610107,3457,3409.419922,3432.969971,3432.969971,2037100
AMZN,7/2/2021,3451.639893,3511.719971,3436.919922,3510.97998,3510.97998,3169400
AMZN,7/6/2021,3530.110107,3685.47998,3529,3675.73999,3675.73999,6744800
AMZN,7/7/2021,3717.379883,3734.199951,3678.909912,3696.580078,3696.580078,5328100
AMZN,7/8/2021,3643.560059,3759.98999,3621.120117,3731.409912,3731.409912,5180600
AMZN,7/9/2021,3722.52002,3748,3693.399902,3719.340088,3719.340088,3748200
AMZN,7/12/2021,3744,3757.290039,3696.790039,3718.550049,3718.550049,2571600
AMZN,7/13/2021,3702.100098,3773.080078,3671.320068,3677.360107,3677.360107,3845900
AMZN,7/14/2021,3708.850098,3717.659912,3660.830078,3681.679932,3681.679932,3296600
AMZN,7/15/2021,3694.199951,3695.399902,3620.919922,3631.199951,3631.199951,3185300
AMZN,7/16/2021,3633.310059,3646.060059,3570.459961,3573.629883,3573.629883,4043700
AMZN,7/19/2021,3532.580078,3550.209961,3499.159912,3549.590088,3549.590088,3784600
AMZN,7/20/2021,3567.320068,3592,3518,3573.189941,3573.189941,3255700
AMZN,7/21/2021,3576.379883,3586.449951,3543.639893,3585.199951,3585.199951,2319000
AMZN,7/22/2021,3587.22998,3640.02002,3582.27002,3638.030029,3638.030029,3265400
AMZN,7/23/2021,3640,3666.110107,3622.040039,3656.639893,3656.639893,2436300
AMZN,7/26/2021,3673.169922,3712.080078,3647.25,3699.820068,3699.820068,2900100
AMZN,7/27/2021,3698.5,3698.5,3586.149902,3626.389893,3626.389893,4131900
AMZN,7/28/2021,3633.780029,3658.419922,3601,3630.320068,3630.320068,2999400
AMZN,7/29/2021,3627.75,3637.949951,3580.01001,3599.919922,3599.919922,5520000
AMZN,7/30/2021,3347.949951,3368.139893,3306.97998,3327.590088,3327.590088,9957100
AMZN,8/2/2021,3353.100098,3358.919922,3317,3331.47998,3331.47998,3353900
AMZN,8/3/2021,3340.719971,3391,3299.77002,3366.23999,3366.23999,4157300
AMZN,8/4/2021,3379.350098,3388.879883,3345.560059,3354.719971,3354.719971,2183900
AMZN,8/5/2021,3356.219971,3389,3340.919922,3375.98999,3375.98999,2433500
AMZN,8/6/2021,3375,3375,3329.040039,3344.939941,3344.939941,2635300
AMZN,8/9/2021,3343.610107,3354.879883,3328.52002,3341.870117,3341.870117,2148200
AMZN,8/10/2021,3345.01001,3358,3315,3320.679932,3320.679932,2412600
AMZN,8/11/2021,3331.449951,3337.699951,3277.790039,3292.110107,3292.110107,2947200
AMZN,8/12/2021,3290,3314.51001,3269.669922,3303.5,3303.5,2314100
AMZN,8/13/2021,3305.669922,3306.070068,3283,3293.969971,3293.969971,2052800
AMZN,8/16/2021,3283,3300,3211.129883,3298.98999,3298.98999,3319700
AMZN,8/17/2021,3277.5,3280.48999,3225.679932,3241.959961,3241.959961,3387900
AMZN,8/18/2021,3241.98999,3254.100098,3200,3201.219971,3201.219971,2804300
AMZN,8/19/2021,3194.02002,3233,3182.459961,3187.75,3187.75,3782900
AMZN,8/20/2021,3203.870117,3207.810059,3175.76001,3199.949951,3199.949951,3341200
AMZN,8/23/2021,3211.899902,3280.899902,3210.01001,3265.870117,3265.870117,3268100
AMZN,8/24/2021,3280,3315.48999,3274.580078,3305.780029,3305.780029,2551800
AMZN,8/25/2021,3309.870117,3321,3286.149902,3299.179932,3299.179932,1680300
AMZN,8/26/2021,3299,3332,3296,3316,3316,2098800
AMZN,8/27/2021,3333.22998,3352.320068,3313.75,3349.629883,3349.629883,2391300
AMZN,8/30/2021,3357.429932,3445,3355.219971,3421.570068,3421.570068,3192200
AMZN,8/31/2021,3424.800049,3472.580078,3395.590088,3470.790039,3470.790039,4356400
AMZN,9/1/2021,3496.399902,3527,3475.23999,3479,3479,3629900
AMZN,9/2/2021,3494.76001,3511.959961,3455,3463.120117,3463.120117,2923700
AMZN,9/3/2021,3452,3482.669922,3436.439941,3478.050049,3478.050049,2575700
AMZN,9/7/2021,3478,3528.090088,3476.939941,3509.290039,3509.290039,2737900
AMZN,9/8/2021,3511.649902,3545.629883,3495.669922,3525.5,3525.5,3053400
AMZN,9/9/2021,3526.02002,3549.98999,3480.370117,3484.159912,3484.159912,2719200
AMZN,9/10/2021,3501.830078,3508.449951,3462.909912,3469.149902,3469.149902,2393300
AMZN,9/13/2021,3482.800049,3497.959961,3438,3457.169922,3457.169922,2569000
AMZN,9/14/2021,3475.550049,3486.810059,3437.709961,3450,3450,1936900
AMZN,9/15/2021,3442.52002,3485.419922,3402.01001,3475.790039,3475.790039,2957500
AMZN,9/16/2021,3459.959961,3492.550049,3446.139893,3488.23999,3488.23999,2583600
AMZN,9/17/2021,3488.409912,3497.409912,3452.129883,3462.52002,3462.52002,4614100
AMZN,9/20/2021,3396,3419,3305.01001,3355.72998,3355.72998,4669100
AMZN,9/21/2021,3375,3379.699951,3332.389893,3343.629883,3343.629883,2780900
AMZN,9/22/2021,3351,3389,3341.050049,3380.050049,3380.050049,2411400
AMZN,9/23/2021,3380.050049,3428.959961,3380.050049,3416,3416,2379400
AMZN,9/24/2021,3402.01001,3429.26001,3393.399902,3425.52002,3425.52002,2113600
AMZN,9/27/2021,3371.5,3415.570068,3339.610107,3405.800049,3405.800049,3631900
AMZN,9/28/2021,3357.709961,3369.189941,3290.100098,3314.5,3314.5,2863809
MSFT,9/28/2020,210.880005,212.570007,208.059998,209.440002,207.535629,32004900
MSFT,9/29/2020,209.350006,210.070007,206.809998,207.259995,205.375473,24221900
MSFT,9/30/2020,207.729996,211.979996,206.539993,210.330002,208.417557,33829100
MSFT,10/1/2020,213.490005,213.990005,211.320007,212.460007,210.528198,27158400
MSFT,10/2/2020,208,210.990005,205.539993,206.190002,204.315201,33154800
MSFT,10/5/2020,207.220001,210.410004,206.979996,210.380005,208.467117,21331600
MSFT,10/6/2020,208.820007,210.179993,204.820007,205.910004,204.037735,28554300
MSFT,10/7/2020,207.059998,210.110001,206.720001,209.830002,207.922119,25681100
MSFT,10/8/2020,210.509995,211.190002,208.320007,210.580002,208.665298,19925800
MSFT,10/9/2020,211.229996,215.860001,211.229996,215.809998,213.847733,26458000
