Student_ID,School_Name,Math,Science,English,History
145581,Central,70,74,87,63
321209,Central,70,62,70,84
221982,Central,62,61,79,63
204249,Central,89,65,73,67
319950,Central,61,99,86,86
181517,Central,74,88,61,95
212887,Central,62,88,81,74
276473,Central,96,62,64,91
148626,Central,80,62,95,69
299192,Central,68,73,65,80
340871,Central,68,86,98,60
185278,Central,69,66,81,66
137436,Central,67,88,72,66
185670,Central,80,90,72,73
270018,Central,88,81,94,92
265389,Central,66,75,88,96
310326,Central,68,67,76,73
210616,Central,67,61,82,98
397366,Central,83,89,79,72
307426,Central,94,70,69,77
174906,Central,92,75,95,97
237753,Central,67,82,65,84
309401,Central,93,91,65,70
214988,Central,82,62,83,83
367139,Central,96,62,74,89
183877,Central,60,80,94,64
321334,Central,94,72,60,99
133307,Central,96,86,95,75
301729,Central,73,95,71,72
345393,Central,60,81,70,90
160059,Central,86,63,95,77
278350,Central,74,65,72,77
253879,Central,72,79,83,75
296039,Central,66,74,69,75
382790,Central,87,65,66,91
226287,Central,92,70,97,76
167315,Central,86,91,61,94
388256,Central,96,62,79,87
211044,Central,91,75,71,92
309187,Central,61,80,60,82
371359,Central,76,94,83,85
336709,Central,61,81,73,89
130867,Central,65,64,61,74
273240,Central,76,84,70,61
212322,Central,81,84,87,79
382714,Central,70,79,88,70
344856,Central,79,84,98,98
200449,Central,60,82,79,96
199725,Central,70,70,78,66
335203,Central,84,64,99,93
332329,Central,61,63,65,83
107738,Central,91,81,75,76
223931,Central,94,76,96,94
313079,Central,75,73,78,98
352371,Central,79,92,76,89
130742,Central,83,99,67,65
304694,Central,97,62,79,83
239043,Central,99,87,77,96
181159,Central,88,96,72,73
199562,Central,77,97,84,86
130663,Central,94,85,83,68
384267,Central,75,70,61,97
131960,Central,95,67,92,76
264420,Central,92,99,78,78
349975,Central,73,67,94,81
135632,Central,81,75,81,80
229088,Central,67,94,86,67
142983,Central,86,96,93,67
319795,Central,93,76,68,67
207091,Central,92,89,93,71
239259,Central,63,71,95,91
307506,Central,94,76,95,86
257285,Central,87,88,67,92
339718,Central,89,78,85,85
340274,Central,96,93,63,92
293739,Central,84,67,77,94
384803,Central,83,70,60,75
258607,Central,91,67,74,72
377318,Central,81,88,63,79
390049,Central,68,96,79,76
279769,Central,84,77,75,86
364980,Central,66,82,90,75
245061,Central,73,91,70,94
168588,Central,87,99,90,73
178148,Central,74,81,90,61
177644,Central,98,99,61,74
120917,Central,99,72,62,76
287596,Central,75,76,68,77
210141,Central,72,91,81,79
313059,Central,87,86,69,91
181031,Central,85,80,89,68
224119,Central,96,77,81,86
194037,Central,60,97,91,76
230112,Central,91,94,60,93
300563,Central,75,63,67,79
216620,Central,81,99,78,94
239181,Central,96,93,70,81
368133,Central,69,65,85,77
372588,Central,75,88,72,83
365879,Central,92,79,90,91
398376,Central,61,82,69,80
312901,Central,82,67,94,75
259318,Central,67,98,73,68
250426,Central,88,96,97,94
210197,Central,85,87,71,88
343788,Central,93,61,94,71
212042,Central,70,89,62,74
144458,Central,80,88,73,81
148962,Central,68,80,77,68
317287,Central,71,92,95,98
201941,Central,72,68,76,69
359197,Central,84,94,68,66
322900,Central,81,74,70,90
192216,Central,78,92,94,72
371560,Central,95,73,70,77
230652,Central,68,71,99,67
163627,Central,66,60,97,80
323736,Central,84,80,63,70
348867,Central,75,65,85,80
335967,Central,98,81,97,82
245392,Central,90,67,87,66
354069,Central,94,70,83,89
243969,Central,88,80,72,82
276081,Central,76,76,72,88
383196,Central,66,78,92,82
142246,Central,72,97,73,62
300821,Central,61,96,92,81
212173,Central,88,81,83,61
317511,Central,97,95,72,79
273478,Central,67,91,61,96
110241,Central,65,77,73,84
319688,Central,78,63,87,65
215041,Central,79,71,74,69
243097,Central,87,90,66,96
328504,Central,67,83,74,86
354617,Central,98,73,97,72
303874,Central,62,93,88,80
186531,Central,84,68,83,93
345048,Central,92,85,78,68
114139,Central,91,69,79,81
114210,Central,80,83,84,95
171146,Central,95,86,82,75
342063,Central,94,75,64,92
210971,Central,90,82,81,96
298772,Central,82,82,95,87
382811,Central,97,62,86,85
217557,Central,87,79,64,60
121107,Central,87,80,78,74
204523,Central,67,74,94,79
225067,Central,96,80,89,92
187970,Central,88,87,82,70
160049,Central,72,94,80,90
307962,Central,69,84,97,95
139845,Central,64,70,60,87
121533,Central,80,68,63,91
379312,Central,84,60,83,83
278904,Central,93,71,70,73
320232,Central,60,85,77,90
289891,Central,76,89,84,77
341036,Central,64,68,71,68
373546,Central,62,93,68,93
382158,Central,96,84,94,92
353492,Central,96,71,91,82
343642,Central,63,81,82,91
298700,Central,99,94,89,80
211212,Central,85,76,84,78
370862,Central,76,74,74,89
144886,Central,74,72,67,89
356156,Central,73,65,86,93
225999,Central,70,81,94,83
109041,Central,97,85,82,73
378356,Central,74,73,98,62
388563,Central,64,74,74,85
337894,Central,69,76,78,97
163259,Central,83,94,74,78
265439,Central,93,99,86,94
200423,Central,70,60,76,73
213448,Central,82,94,90,97
353860,Central,75,91,69,69
244966,Central,90,95,96,87
248373,Central,75,65,77,95
201774,Central,63,96,98,75
255319,Central,99,74,65,80
194080,Central,62,75,73,65
107418,Central,62,75,79,62
166366,Central,88,85,90,73
123864,Central,78,91,69,88
390120,Central,64,90,98,85
346100,Central,64,98,96,80
330933,Central,85,67,63,94
159815,Central,85,69,81,98
138841,Central,85,88,92,67
179549,Central,60,93,81,69
395091,Central,94,64,66,99
259298,Central,74,89,85,83
162103,Central,85,88,89,97
392591,Central,87,82,98,93
255899,Central,66,68,68,99
324831,Central,62,96,72,98
152027,Central,94,62,80,63
210638,Central,84,76,93,95
139356,Central,81,91,92,95
252704,Central,84,79,80,94
203715,Central,99,92,79,63
186992,Central,80,87,87,83
165198,Central,70,89,80,75
362392,Central,62,69,87,67
329512,Central,96,70,88,66
113561,Central,79,61,84,77
191851,Central,89,94,85,89
331856,Central,74,65,86,72
357806,Central,64,98,98,72
147838,Central,65,61,62,96
346421,Central,85,85,63,73
282432,Central,63,86,96,96
269489,Central,69,87,98,78
371812,Central,96,96,64,72
331757,Central,68,74,86,79
240015,Central,83,72,70,62
387950,Central,97,80,85,86
251011,Central,89,86,87,93
354129,Central,64,79,88,99
163663,Central,73,84,68,82
388799,Central,94,91,88,80
341932,Central,70,82,73,92
317837,Central,64,68,95,87
278193,Central,97,70,81,86
240076,Central,82,81,69,80
256530,Central,84,93,85,97
280945,Central,99,78,65,80
315365,Central,86,61,91,82
122884,Central,95,83,93,68
330848,Central,69,66,85,87
152278,Central,92,85,72,90
339562,Central,72,90,92,79
180930,Central,74,87,60,90
238949,Central,64,87,83,68
277504,Central,88,66,65,68
379772,Central,86,78,60,75
118822,Central,86,62,61,97
327527,Central,97,61,79,65
151613,Central,65,89,62,79
115177,Central,85,91,92,68
129423,Central,77,92,79,96
228030,Central,63,86,60,65
378485,Central,64,75,83,63
194402,Central,87,85,81,68
141403,Central,88,71,84,81
360921,Central,81,71,89,95
341776,Central,60,69,69,67
386575,Central,99,95,94,90
182825,Central,74,83,80,73
281176,Central,68,90,66,78
204448,Central,70,96,79,83
147256,Central,72,82,68,60
378320,Central,75,90,98,71
186269,Central,77,71,89,64
234727,Central,60,75,72,93
306871,Central,69,73,73,61
107298,Central,69,74,75,72
299768,Central,66,82,75,82
347190,Central,62,79,65,83
394340,Central,82,64,76,76
133144,Central,62,65,82,99
258435,Central,87,90,95,87
173284,Central,94,64,83,98
119510,Central,83,84,98,66
358278,Central,91,60,63,84
171128,Central,73,98,80,76
383217,Central,69,85,69,77
151916,Central,80,62,63,86
246665,Central,95,76,74,71
294265,Central,77,88,62,87
333149,Central,64,67,77,63
223792,Central,79,88,60,85
288049,Central,71,86,62,66
131746,Central,79,71,96,64
272260,Central,61,72,90,77
245372,Central,68,79,94,79
113517,Central,96,70,78,99
108274,Central,97,78,72,75
191356,Central,93,65,97,64
127473,Central,96,87,97,82
166458,Central,84,60,98,84
340147,Central,85,72,72,98
156604,Central,85,70,91,75
332555,Central,80,82,92,76
138531,Central,70,82,93,89
268880,Central,70,85,64,78
244188,Central,94,92,81,80
270491,Central,83,73,89,78
159986,Central,76,89,74,91
212735,Central,68,74,93,96
323748,Central,98,69,92,90
263853,Central,94,66,92,93
233636,Central,62,97,67,88
180027,Central,89,92,75,68
144756,Central,78,76,77,81
150628,Central,69,63,60,80
164085,Central,76,78,62,60
285388,Central,96,86,92,98
284364,Central,77,88,66,91
217569,Central,91,76,92,71
156738,Central,69,98,91,75
218573,Central,80,81,68,84
115180,Central,68,77,79,70
194590,Central,67,85,88,91
261997,Central,88,60,76,90
148108,Central,83,77,67,97
378126,Central,94,90,76,84
297235,Central,62,89,96,97
294015,Central,98,89,85,62
270071,Central,63,98,83,75
331759,Central,72,77,97,91
355136,Central,69,88,86,90
376266,Central,89,83,87,73
261701,Central,84,81,75,64
162907,Central,60,81,92,76
360774,Central,68,64,71,84
192115,Central,83,64,64,69
220645,Central,96,74,60,91
137789,Central,70,78,84,75
140823,Central,67,65,92,64
325069,Central,88,97,98,62
312035,Central,69,72,75,78
110935,Central,64,67,84,77
341224,Central,68,80,81,97
278003,Central,84,66,71,89
274624,Central,63,93,94,92
188150,Central,73,81,92,69
140045,Central,96,83,81,77
223873,Central,93,76,62,63
395560,Central,97,87,72,77
345850,Central,87,79,68,89
365991,Central,88,85,60,94
138898,Central,62,67,76,82
342087,Central,93,75,63,97
336934,Central,99,83,72,94
129827,Central,72,89,66,79
293325,Central,92,72,82,62
301580,Central,99,77,89,66
335790,Central,84,72,78,87
