Student_ID,School_Name,Math,Science,English,History
116664,Columbia,83,70,92,69
149124,Columbia,99,99,72,66
385707,Columbia,97,71,90,91
215575,Columbia,80,95,76,96
103408,Columbia,81,77,96,71
288209,Columbia,77,63,72,78
238686,Columbia,84,90,84,77
298462,Columbia,79,68,73,98
141314,Columbia,87,87,95,87
389429,Columbia,66,90,76,60
289601,Columbia,94,74,75,81
251723,Columbia,63,96,67,81
222050,Columbia,65,91,62,75
299296,Columbia,88,94,78,71
337718,Columbia,85,78,61,76
286265,Columbia,73,68,77,81
239974,Columbia,74,65,86,71
380044,Columbia,82,75,64,97
228352,Columbia,99,82,85,80
241531,Columbia,83,85,83,65
392003,Columbia,85,95,62,96
134702,Columbia,60,99,80,67
173207,Columbia,98,85,71,81
229304,Columbia,87,61,82,61
382580,Columbia,68,85,96,82
172526,Columbia,83,97,84,61
147663,Columbia,99,60,67,99
300079,Columbia,62,66,97,85
377409,Columbia,64,69,71,98
390050,Columbia,73,74,66,71
239894,Columbia,74,82,92,87
327943,Columbia,91,96,68,72
337882,Columbia,91,71,69,68
256472,Columbia,88,65,62,71
204287,Columbia,72,91,74,97
378059,Columbia,61,84,74,82
356171,Columbia,87,66,83,97
158651,Columbia,89,72,99,78
397459,Columbia,60,92,89,74
144908,Columbia,72,86,70,72
136288,Columbia,98,71,93,99
379292,Columbia,65,90,60,92
165935,Columbia,67,86,78,86
186575,Columbia,92,86,82,93
376654,Columbia,74,90,83,90
163442,Columbia,61,97,95,84
133569,Columbia,96,83,83,73
220647,Columbia,78,74,83,91
215458,Columbia,61,94,72,83
137221,Columbia,91,75,85,79
399392,Columbia,92,82,69,82
347816,Columbia,68,83,73,96
227401,Columbia,65,70,71,78
347975,Columbia,75,93,89,77
199830,Columbia,62,64,91,65
149454,Columbia,79,64,91,69
325995,Columbia,78,71,60,83
151600,Columbia,66,70,86,64
230368,Columbia,99,77,68,98
321188,Columbia,90,84,68,93
196201,Columbia,89,69,81,81
342551,Columbia,66,78,71,82
139524,Columbia,85,66,68,63
388529,Columbia,60,60,78,79
151333,Columbia,71,74,66,98
354616,Columbia,62,79,96,94
310261,Columbia,92,71,81,88
249553,Columbia,94,89,83,98
321778,Columbia,84,72,63,91
391383,Columbia,94,72,96,95
355156,Columbia,84,61,63,96
214138,Columbia,61,95,77,90
129972,Columbia,63,81,68,63
126290,Columbia,92,79,87,70
182541,Columbia,67,85,60,67
129822,Columbia,66,89,80,93
142002,Columbia,76,79,74,90
223315,Columbia,81,86,82,89
120837,Columbia,86,79,65,98
236717,Columbia,87,90,90,82
138034,Columbia,65,93,80,78
152419,Columbia,88,97,81,89
239042,Columbia,91,96,96,62
169446,Columbia,82,79,88,85
228076,Columbia,77,99,98,67
182705,Columbia,62,82,98,87
