Student_ID,School_Name,Math,Science,English,History
158370,Eastside,98,81,66,60
228394,Eastside,67,73,92,89
173159,Eastside,98,78,65,63
153737,Eastside,78,78,77,73
214630,Eastside,83,77,96,72
335515,Eastside,92,74,88,82
245853,Eastside,71,87,95,66
183708,Eastside,84,61,85,84
321572,Eastside,86,72,76,62
381138,Eastside,85,89,79,61
165445,Eastside,61,61,92,74
253710,Eastside,67,93,80,64
124026,Eastside,95,67,88,60
141834,Eastside,61,98,83,91
245739,Eastside,77,96,92,60
294082,Eastside,95,87,69,68
209843,Eastside,90,87,81,85
342358,Eastside,75,62,86,61
129328,Eastside,74,71,73,65
116830,Eastside,84,70,87,98
340571,Eastside,94,74,65,78
324623,Eastside,71,77,60,87
358745,Eastside,94,89,85,76
124703,Eastside,81,89,83,93
157488,Eastside,86,91,97,97
180133,Eastside,94,87,65,81
231814,Eastside,85,98,98,82
238092,Eastside,89,87,97,87
362452,Eastside,96,67,74,72
193666,Eastside,82,60,62,95
366172,Eastside,98,96,90,68
155790,Eastside,74,81,65,73
366162,Eastside,95,80,70,91
180132,Eastside,91,94,87,62
184699,Eastside,81,64,97,79
100300,Eastside,65,99,77,76
110212,Eastside,79,99,61,67
261226,Eastside,87,77,93,93
130370,Eastside,98,67,66,81
349185,Eastside,68,69,80,75
321847,Eastside,91,74,63,95
382747,Eastside,83,72,81,92
263430,Eastside,98,70,77,77
329691,Eastside,96,89,92,74
229974,Eastside,87,90,64,75
277255,Eastside,91,91,90,76
111029,Eastside,92,95,72,71
135338,Eastside,63,69,97,93
369566,Eastside,83,88,88,85
224783,Eastside,64,78,96,85
169370,Eastside,75,78,62,69
313417,Eastside,88,87,91,86
322078,Eastside,62,79,76,87
277893,Eastside,98,77,93,61
157289,Eastside,77,86,60,74
173496,Eastside,82,82,63,94
246038,Eastside,94,81,77,90
126523,Eastside,64,99,75,87
383424,Eastside,96,71,64,98
148897,Eastside,68,81,60,78
186318,Eastside,70,79,92,76
298692,Eastside,67,89,61,76
101131,Eastside,95,97,89,73
363639,Eastside,80,88,98,63
366249,Eastside,62,76,68,70
197426,Eastside,92,75,94,70
135925,Eastside,71,66,64,97
162856,Eastside,97,83,82,85
265869,Eastside,92,74,96,72
264723,Eastside,64,79,88,86
225141,Eastside,78,98,73,81
168618,Eastside,76,89,74,61
104884,Eastside,94,66,87,64
395171,Eastside,83,79,75,79
138410,Eastside,90,83,71,67
381876,Eastside,94,69,75,97
211755,Eastside,92,91,99,76
282982,Eastside,92,62,77,90
136067,Eastside,62,96,69,67
329735,Eastside,99,99,80,63
160518,Eastside,99,91,98,93
181500,Eastside,98,85,60,64
210431,Eastside,94,90,64,67
274880,Eastside,74,69,94,65
331650,Eastside,91,82,69,98
105070,Eastside,81,90,64,66
325333,Eastside,63,76,96,90
393541,Eastside,78,85,93,98
185198,Eastside,85,72,65,92
239884,Eastside,84,77,67,67
183466,Eastside,99,75,72,72
341332,Eastside,62,76,70,93
283322,Eastside,71,96,79,92
112407,Eastside,81,85,69,82
308911,Eastside,73,90,85,73
272104,Eastside,87,63,89,61
367076,Eastside,75,91,73,80
381132,Eastside,85,97,85,87
236952,Eastside,92,87,65,75
327837,Eastside,64,91,84,73
281240,Eastside,95,97,99,97
301954,Eastside,91,91,84,95
233548,Eastside,64,69,90,89
123272,Eastside,63,62,85,83
328620,Eastside,75,71,95,79
100887,Eastside,83,90,82,90
262155,Eastside,96,72,80,86
271014,Eastside,62,95,93,63
255009,Eastside,92,60,61,77
390672,Eastside,99,74,97,98
166736,Eastside,69,72,91,74
100213,Eastside,85,72,70,76
370246,Eastside,69,77,90,61
275736,Eastside,96,72,99,68
204402,Eastside,95,99,67,74
112806,Eastside,98,74,67,66
228369,Eastside,83,69,62,99
309534,Eastside,94,70,89,99
227919,Eastside,89,93,80,98
169909,Eastside,73,70,86,86
387243,Eastside,80,80,71,75
222943,Eastside,68,98,69,79
267620,Eastside,97,65,68,74
133675,Eastside,96,85,89,60
132646,Eastside,66,94,62,65
320277,Eastside,63,87,79,77
304199,Eastside,95,60,75,60
299430,Eastside,90,99,75,86
304466,Eastside,85,75,77,78
382183,Eastside,98,97,82,84
386331,Eastside,62,86,73,90
395904,Eastside,75,62,67,76
271628,Eastside,74,93,60,94
338394,Eastside,60,90,62,85
127308,Eastside,71,80,86,86
283481,Eastside,83,84,70,80
116269,Eastside,95,92,88,76
229648,Eastside,85,97,74,85
166177,Eastside,95,83,79,84
395683,Eastside,68,82,68,65
234346,Eastside,72,77,61,73
282035,Eastside,85,61,92,70
365270,Eastside,92,87,79,61
327292,Eastside,87,87,79,71
180212,Eastside,90,98,80,80
241601,Eastside,82,90,84,67
336351,Eastside,60,74,94,85
398766,Eastside,60,97,68,74
195337,Eastside,67,85,60,89
278436,Eastside,71,73,85,65
246622,Eastside,60,65,75,71
244845,Eastside,64,94,73,79
313086,Eastside,80,94,61,95
334973,Eastside,93,93,87,67
216181,Eastside,89,79,88,63
